"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages","Thread_Relevancy"
"NG02_TH00295","netmotss","NG02","TH00295","Can't connect to mike. }}} = Arndt","https://groups.google.com./g/net.motss/c/G-_ymcENQ7w",1984-07-18,1,1
"NG02_TH00293","netmotss","NG02","TH00293","History and Homosexuality","https://groups.google.com./g/net.motss/c/67qDYVjtchk",1984-07-17,2,0.5
"NG02_TH00292","netmotss","NG02","TH00292","history etc.","https://groups.google.com./g/net.motss/c/dUcrE_Zndos",1984-07-16,1,1
"NG02_TH00291","netmotss","NG02","TH00291","Egbert Incident book","https://groups.google.com./g/net.motss/c/4WWEalX0ErY",1984-07-16,1,1
"NG02_TH00290","netmotss","NG02","TH00290","Thoughts on the last week of not.motss","https://groups.google.com./g/net.motss/c/tZl0gQYKlSI",1984-07-15,11,0.727272727272727
"NG02_TH00289","netmotss","NG02","TH00289","Bigotry","https://groups.google.com./g/net.motss/c/FdzKIXYI18U",1984-07-14,7,0.285714285714286
"NG02_TH00288","netmotss","NG02","TH00288","Fundaphobia","https://groups.google.com./g/net.motss/c/87MTxi6Fa1g",1984-07-13,12,0.833333333333333
"NG02_TH00287","netmotss","NG02","TH00287","gay/lesbian contributions","https://groups.google.com./g/net.motss/c/ROfhER9oAJ8",1984-07-13,1,1
"NG02_TH00286","netmotss","NG02","TH00286","Not that simple to express, either!","https://groups.google.com./g/net.motss/c/XIl-CAhZaZU",1984-07-12,1,1
"NG02_TH00285","netmotss","NG02","TH00285","gay rights bill","https://groups.google.com./g/net.motss/c/6Y_D0190TyU",1984-07-12,2,0.5
"NG02_TH00283","netmotss","NG02","TH00283","We aren't that simple.","https://groups.google.com./g/net.motss/c/8OtXuEXmUyo",1984-07-11,5,1
"NG02_TH00282","netmotss","NG02","TH00282","History and Homosexuality -clarification","https://groups.google.com./g/net.motss/c/ELDvACE4HlM",1984-07-11,1,1
"NG02_TH00278","netmotss","NG02","TH00278","Bigotry","https://groups.google.com./g/net.motss/c/xClQ_pq5YBs",1984-07-09,1,1
"NG02_TH00277","netmotss","NG02","TH00277","Notes on Last Few Submissions","https://groups.google.com./g/net.motss/c/Mw6n_FtxG3c",1984-07-09,4,0.5
"NG02_TH00276","netmotss","NG02","TH00276","Developmental Psychology: Gender vs Sex: Independence from Choice of Mate","https://groups.google.com./g/net.motss/c/DwUP6kc1CI4",1984-07-09,2,1
"NG02_TH00275","netmotss","NG02","TH00275","discussion of gays in net.singles, please join in and comment!","https://groups.google.com./g/net.motss/c/z9Vd0Mer30A",1984-07-07,2,0.5
"NG02_TH00274","netmotss","NG02","TH00274","Now that the dust has settled and the smoke has cleared...","https://groups.google.com./g/net.motss/c/DN1zQKo_Jqc",1984-07-06,1,1
"NG02_TH00273","netmotss","NG02","TH00273","Flash! Unitarians OK Gay Marriages","https://groups.google.com./g/net.motss/c/Gp2FzlPDWCI",1984-07-06,7,0.285714285714286
"NG02_TH00272","netmotss","NG02","TH00272","Flaunting It!","https://groups.google.com./g/net.motss/c/WZ9E4djDw1Q",1984-07-05,1,1
"NG02_TH00271","netmotss","NG02","TH00271","Dammit Dyer!","https://groups.google.com./g/net.motss/c/zgQD_bL7zXw",1984-07-04,1,1
"NG02_TH00269","netmotss","NG02","TH00269","Will he *ever* go away? :-)","https://groups.google.com./g/net.motss/c/oln5x_CkW4M",1984-07-03,2,1
"NG02_TH00268","netmotss","NG02","TH00268","Dear Abbey","https://groups.google.com./g/net.motss/c/0Fc1curkfSw",1984-07-02,3,0.333333333333333
"NG02_TH00267","netmotss","NG02","TH00267","Yet another response to Paul Dubec","https://groups.google.com./g/net.motss/c/Q7tIVe57cq8",1984-07-02,1,1
"NG02_TH00266","netmotss","NG02","TH00266","Sorry, Jeff","https://groups.google.com./g/net.motss/c/oMmKr28eTuQ",1984-07-02,11,1
"NG02_TH00263","netmotss","NG02","TH00263","A new line....","https://groups.google.com./g/net.motss/c/0vUe3lqVsoc",1984-07-01,2,1
"NG02_TH00262","netmotss","NG02","TH00262","answers to sophie's questions","https://groups.google.com./g/net.motss/c/ROvdB2IcpzQ",1984-07-01,3,1
"NG02_TH00261","netmotss","NG02","TH00261","Trish Against Men","https://groups.google.com./g/net.motss/c/Z5h2Wf8aGmM",1984-07-01,1,1
"NG02_TH00260","netmotss","NG02","TH00260","My last remarks","https://groups.google.com./g/net.motss/c/YA_59-PCuIc",1984-06-29,2,1
"NG02_TH00259","netmotss","NG02","TH00259","My View of it All","https://groups.google.com./g/net.motss/c/Bafrzp_zr1w",1984-06-29,3,1
"NG02_TH00258","netmotss","NG02","TH00258","A Straight's Plea For Perspective.","https://groups.google.com./g/net.motss/c/9s6iBnnX_Bk",1984-06-29,9,0.888888888888889
"NG02_TH00257","netmotss","NG02","TH00257","Sargent/Brenner Con't","https://groups.google.com./g/net.motss/c/sPwDisjhQqI",1984-06-29,8,0.5
"NG02_TH00255","netmotss","NG02","TH00255","questions","https://groups.google.com./g/net.motss/c/N-4NmcHVPLM",1984-06-28,3,1.66666666666667
"NG02_TH00253","netmotss","NG02","TH00253","A Straight's Plea For Perspective","https://groups.google.com./g/net.motss/c/dz6_x6VswzE",1984-06-27,1,1
"NG02_TH00250","netmotss","NG02","TH00250","A reminder","https://groups.google.com./g/net.motss/c/fnV4CZt2WRU",1984-06-24,2,1
"NG02_TH00249","netmotss","NG02","TH00249","Dammit Dyer","https://groups.google.com./g/net.motss/c/D0vh-4dSzQQ",1984-06-23,8,0.875
"NG02_TH00248","netmotss","NG02","TH00248","amusing etymological coincidence","https://groups.google.com./g/net.motss/c/9lTtemSomMU",1984-06-22,1,1
"NG02_TH00247","netmotss","NG02","TH00247","One flame and two questions","https://groups.google.com./g/net.motss/c/W9iOC3KFMMI",1984-06-22,2,0.5
"NG02_TH00246","netmotss","NG02","TH00246","Why advertise?","https://groups.google.com./g/net.motss/c/uVGfTjIpqUI",1984-06-22,2,1
"NG02_TH00245","netmotss","NG02","TH00245","desperation and homosexuality","https://groups.google.com./g/net.motss/c/LlEcByPnOEU",1984-06-22,1,1
"NG02_TH00243","netmotss","NG02","TH00243","John Boswell talks about Gay Christian History: Part 4","https://groups.google.com./g/net.motss/c/0RN00uSNtSQ",1984-06-21,7,0.714285714285714
"NG02_TH00238","netmotss","NG02","TH00238","Boston Pride '84","https://groups.google.com./g/net.motss/c/jTTtReDH6ug",1984-06-19,2,1
"NG02_TH00236","netmotss","NG02","TH00236","answer roberts questions - (nf)","https://groups.google.com./g/net.motss/c/OTviNx9u1W4",1984-06-18,2,1
"NG02_TH00235","netmotss","NG02","TH00235","Sargent/Brenner","https://groups.google.com./g/net.motss/c/9zCl8ofqY-8",1984-06-18,1,1
"NG02_TH00234","netmotss","NG02","TH00234","Bi-Pride","https://groups.google.com./g/net.motss/c/wJ1hDinDfxk",1984-06-15,1,1
"NG02_TH00232","netmotss","NG02","TH00232","publish & panic","https://groups.google.com./g/net.motss/c/0FM1onCTUlU",1984-06-14,3,1.66666666666667
"NG02_TH00231","netmotss","NG02","TH00231","thoughts on desperation (homosexuality and sin)","https://groups.google.com./g/net.motss/c/o3n-rQyb5Zg",1984-06-14,3,1
"NG02_TH00230","netmotss","NG02","TH00230","Sargent/Brenner","https://groups.google.com./g/net.motss/c/0RudEnXdMlM",1984-06-14,1,1
"NG02_TH00229","netmotss","NG02","TH00229","""Is he cute?"" and ""Is he gay?""","https://groups.google.com./g/net.motss/c/r9Mh5g4Unpg",1984-06-13,1,1
"NG02_TH00228","netmotss","NG02","TH00228","response to Mike Musing","https://groups.google.com./g/net.motss/c/5IvrMb7nWjg",1984-06-13,2,1
"NG02_TH00227","netmotss","NG02","TH00227","What is 'motss' - (nf)","https://groups.google.com./g/net.motss/c/dka76DfkiWc",1984-06-13,2,0.5
"NG02_TH00226","netmotss","NG02","TH00226","flame against derogatory epithets","https://groups.google.com./g/net.motss/c/ZLXmxWkp-lo",1984-06-12,1,1
"NG02_TH00225","netmotss","NG02","TH00225","Alan Turing biography","https://groups.google.com./g/net.motss/c/nuyql6rCXtk",1984-06-12,6,0.833333333333333
"NG02_TH00224","netmotss","NG02","TH00224","A Gay Response--posted for Keilman","https://groups.google.com./g/net.motss/c/t49LVpAhTYg",1984-06-12,1,1
"NG02_TH00222","netmotss","NG02","TH00222","""Why be gay ...?"" (flame)","https://groups.google.com./g/net.motss/c/aAKXv_IL0Y0",1984-06-08,1,1
"NG02_TH00221","netmotss","NG02","TH00221","Posted as per requested...","https://groups.google.com./g/net.motss/c/pcP8MfE8m3g",1984-06-07,5,1
"NG02_TH00220","netmotss","NG02","TH00220","Homophobia & science: AIDS in the medical journals","https://groups.google.com./g/net.motss/c/MfRUZnSJqiU",1984-06-07,1,1
"NG02_TH00219","netmotss","NG02","TH00219","Turing Biography and Discrimination","https://groups.google.com./g/net.motss/c/VM3WqKiX4X4",1984-06-07,7,1
"NG02_TH00218","netmotss","NG02","TH00218","John Boswell talks about Gay Christian History: Part 3","https://groups.google.com./g/net.motss/c/YybnXemmKl0",1984-05-30,1,1
"NG02_TH00217","netmotss","NG02","TH00217","bisexuality considered deviant","https://groups.google.com./g/net.motss/c/DJI-b_MlnRQ",1984-05-29,3,1
"NG02_TH00215","netmotss","NG02","TH00215","What's this... someone new?","https://groups.google.com./g/net.motss/c/fQduehMhDSc",1984-05-27,4,0.25
"NG02_TH00214","netmotss","NG02","TH00214","Re saquiqly","https://groups.google.com./g/net.motss/c/FOLufrpFDXk",1984-05-27,1,1
"NG02_TH00212","netmotss","NG02","TH00212","John Boswell talks about Gay Christian History: Part2","https://groups.google.com./g/net.motss/c/-MhS-v49Skg",1984-05-25,1,1
"NG02_TH00211","netmotss","NG02","TH00211","Ignoring & Homophobia","https://groups.google.com./g/net.motss/c/sOrK7t3h9-4",1984-05-24,3,0.666666666666667
"NG02_TH00208","netmotss","NG02","TH00208","John Boswell talks about Gay Christian History: Part 1","https://groups.google.com./g/net.motss/c/Uo2vCuKkFo8",1984-05-22,1,1
"NG02_TH00206","netmotss","NG02","TH00206","Greetings from Olympus!","https://groups.google.com./g/net.motss/c/S622oRUsapg",1984-05-21,2,0.5
"NG02_TH00205","netmotss","NG02","TH00205","John Boswell's ""Christianity, Homosexuality & Social Tolerance""","https://groups.google.com./g/net.motss/c/jVFjYDtP6Gc",1984-05-19,2,0.5
"NG02_TH00204","netmotss","NG02","TH00204","Good News","https://groups.google.com./g/net.motss/c/HSY4qz3GUmw",1984-05-18,1,1
"NG02_TH00201","netmotss","NG02","TH00201","CwS 4.1 article: Gay and Lesbian Naturists","https://groups.google.com./g/net.motss/c/o3DeIEsVGvE",1984-05-15,1,1
"NG02_TH00198","netmotss","NG02","TH00198","Rich Eychaner's candidacy for Congress","https://groups.google.com./g/net.motss/c/_2xjc86O0eI",1984-05-11,1,1
"NG02_TH00197","netmotss","NG02","TH00197","Requested reposting Army Navy Marines","https://groups.google.com./g/net.motss/c/HuV3L2r_mWk",1984-05-07,4,0.25
"NG02_TH00190","netmotss","NG02","TH00190","Sex in a Relationship","https://groups.google.com./g/net.motss/c/SXAIxQOh7vE",1984-04-30,1,1
"NG02_TH00189","netmotss","NG02","TH00189","friendship marriages and other","https://groups.google.com./g/net.motss/c/JQ2HMUNKQVE",1984-04-30,3,1
"NG02_TH00188","netmotss","NG02","TH00188","Yellow Silk","https://groups.google.com./g/net.motss/c/GnXThc5JPnU",1984-04-28,1,1
"NG02_TH00187","netmotss","NG02","TH00187","Summary of an article on Gays on TV","https://groups.google.com./g/net.motss/c/s3Y5xdYOIYM",1984-04-27,3,1
"NG02_TH00185","netmotss","NG02","TH00185","Being ""out"" in a dorm","https://groups.google.com./g/net.motss/c/8p4yzSqqegs",1984-04-26,1,1
"NG02_TH00184","netmotss","NG02","TH00184","[Posting for ""Bert""] David Susskind and Aesthetic Realism","https://groups.google.com./g/net.motss/c/7xiWU6FXPtQ",1984-04-24,5,0.6
"NG02_TH00183","netmotss","NG02","TH00183","AIDS Breakthrough","https://groups.google.com./g/net.motss/c/n9WbjWW_Hh0",1984-04-24,3,2.66666666666667
"NG02_TH00182","netmotss","NG02","TH00182","Where does it stop?","https://groups.google.com./g/net.motss/c/KQ18YemU59E",1984-04-20,4,1.25
"NG02_TH00181","netmotss","NG02","TH00181","Gay TV shows and films Drivel","https://groups.google.com./g/net.motss/c/pznZtqUPA3I",1984-04-20,17,0.588235294117647
"NG02_TH00179","netmotss","NG02","TH00179","Friendship marriages","https://groups.google.com./g/net.motss/c/2jau_0XtCJk",1984-04-17,1,1
"NG02_TH00177","netmotss","NG02","TH00177","converting Gays to Straights","https://groups.google.com./g/net.motss/c/0zEwvQepBkU",1984-04-16,1,1
"NG02_TH00176","netmotss","NG02","TH00176","board game review -- GAY MONOPOLY","https://groups.google.com./g/net.motss/c/2bSZ7PF0wnQ",1984-04-16,1,1
"NG02_TH00172","netmotss","NG02","TH00172","Where have all the 'fluffs' gone?","https://groups.google.com./g/net.motss/c/IIxDYe7Wjrc",1984-04-10,1,1
"NG02_TH00171","netmotss","NG02","TH00171","SECURITY CLEARANCES","https://groups.google.com./g/net.motss/c/ZeB7Y_jdkj4",1984-03-31,1,1
"NG02_TH00168","netmotss","NG02","TH00168","Attention Californians","https://groups.google.com./g/net.motss/c/4YMDersq5fM",1984-03-21,4,0.5
"NG02_TH00164","netmotss","NG02","TH00164","?? Christianity ??","https://groups.google.com./g/net.motss/c/XZ4MmLcvAJg",1984-03-05,2,1
"NG02_TH00163","netmotss","NG02","TH00163","Cristianity?","https://groups.google.com./g/net.motss/c/PWCCprZpMwg",1984-03-04,2,1
"NG02_TH00160","netmotss","NG02","TH00160","Pornography","https://groups.google.com./g/net.motss/c/1X2LBTHpCs8",1984-02-19,1,1
"NG02_TH00159","netmotss","NG02","TH00159","Repost of ""Felix"" on coming out.","https://groups.google.com./g/net.motss/c/5R2bDVrUQeI",1984-02-16,1,1
"NG02_TH00157","netmotss","NG02","TH00157","books Homosexuality/Religion","https://groups.google.com./g/net.motss/c/OgS3zCTcdf0",1984-02-15,1,1
"NG02_TH00155","netmotss","NG02","TH00155","Keep Religion Out Of NET.MOTSS","https://groups.google.com./g/net.motss/c/zVgPUfhmniA",1984-02-14,3,1
"NG02_TH00151","netmotss","NG02","TH00151","""Felix"" on comming out.","https://groups.google.com./g/net.motss/c/vwhhPlNcduE",1984-02-11,1,1
"NG02_TH00150","netmotss","NG02","TH00150","Sub-human Christian attitudes","https://groups.google.com./g/net.motss/c/fZsXeyd3tNE",1984-02-10,1,1
"NG02_TH00149","netmotss","NG02","TH00149","NAMBLA, parents and homophobia","https://groups.google.com./g/net.motss/c/vR3_bvyK94w",1984-02-09,4,0.25
"NG02_TH00148","netmotss","NG02","TH00148","coming out","https://groups.google.com./g/net.motss/c/D8niqtwgv2M",1984-02-08,2,1
"NG02_TH00146","netmotss","NG02","TH00146","ramblings on saquigleys message","https://groups.google.com./g/net.motss/c/dCDtcYGIK78",1984-02-08,1,1
"NG02_TH00145","netmotss","NG02","TH00145","Coming out","https://groups.google.com./g/net.motss/c/Fw8WSR2dI1g",1984-02-07,1,1
"NG02_TH00144","netmotss","NG02","TH00144","Anal sex tied to AIDS","https://groups.google.com./g/net.motss/c/ZGvG0ZRvkEU",1984-02-06,1,2
"NG02_TH00142","netmotss","NG02","TH00142","Child sexuality, incest and trauma","https://groups.google.com./g/net.motss/c/zLrYSdrhTu4",1984-02-03,2,1
"NG02_TH00141","netmotss","NG02","TH00141","forwarded message","https://groups.google.com./g/net.motss/c/djXL7oCZNtA",1984-02-03,1,2
"NG02_TH00139","netmotss","NG02","TH00139","Offensive Connotations","https://groups.google.com./g/net.motss/c/fzAPKYcwToY",1984-02-01,1,1
"NG02_TH00138","netmotss","NG02","TH00138","What does NAMBLA want?","https://groups.google.com./g/net.motss/c/bAT4AAc4_-8",1984-02-01,1,1
"NG02_TH00136","netmotss","NG02","TH00136","Net.motss about what??","https://groups.google.com./g/net.motss/c/xff7yzlkTGQ",1984-01-31,1,1
"NG02_TH00133","netmotss","NG02","TH00133","MISCELLANEOUS","https://groups.google.com./g/net.motss/c/bt2b6BjAenU",1984-01-28,3,1
"NG02_TH00131","netmotss","NG02","TH00131","NAMBLA RESOLUTION","https://groups.google.com./g/net.motss/c/s8aqZAXFLQ8",1984-01-26,9,0.444444444444444
"NG02_TH00130","netmotss","NG02","TH00130","NAMBLA","https://groups.google.com./g/net.motss/c/5fRqolg8PLE",1984-01-26,3,0.333333333333333
"NG02_TH00128","netmotss","NG02","TH00128","Words","https://groups.google.com./g/net.motss/c/hqEuNTmVEpk",1984-01-25,1,1
"NG02_TH00127","netmotss","NG02","TH00127","Separatism","https://groups.google.com./g/net.motss/c/e82dn8G-fVE",1984-01-25,2,0.5
"NG02_TH00126","netmotss","NG02","TH00126","Anal sex tied to AIDS - journal of the AMA","https://groups.google.com./g/net.motss/c/8uPRq4T7RRs",1984-01-25,3,2.33333333333333
"NG02_TH00125","netmotss","NG02","TH00125","MORE MISCELLANEOUS","https://groups.google.com./g/net.motss/c/kF2FiOC8dBo",1984-01-23,7,0.571428571428571
"NG02_TH00124","netmotss","NG02","TH00124","pronouns","https://groups.google.com./g/net.motss/c/I6FEiaPhSs0",1984-01-23,3,0.666666666666667
"NG02_TH00122","netmotss","NG02","TH00122","Cross-generation sexuality","https://groups.google.com./g/net.motss/c/R_cv0lCXeb8",1984-01-22,1,1
"NG02_TH00120","netmotss","NG02","TH00120","More on Gaytek","https://groups.google.com./g/net.motss/c/gpjwfhvlvfw",1984-01-19,1,1
"NG02_TH00119","netmotss","NG02","TH00119","""Felix"" on NAMBLA and 'The Sisters...'","https://groups.google.com./g/net.motss/c/yAXLGWp0Rps",1984-01-17,1,1
"NG02_TH00118","netmotss","NG02","TH00118","forwarded message","https://groups.google.com./g/net.motss/c/Di-eD0HX9t4",1984-01-17,6,0.666666666666667
"NG02_TH00117","netmotss","NG02","TH00117","tuff","https://groups.google.com./g/net.motss/c/-Zk676FQ2DE",1984-01-16,1,1
"NG02_TH00116","netmotss","NG02","TH00116","motss is not related to NAMBLA","https://groups.google.com./g/net.motss/c/vcs5N7NdLFA",1984-01-15,1,1
"NG02_TH00115","netmotss","NG02","TH00115","how many out there? - (nf)","https://groups.google.com./g/net.motss/c/1-C_kOQu5mI",1984-01-15,7,0.428571428571429
"NG02_TH00114","netmotss","NG02","TH00114","Reply to ""Tinkerbelle""","https://groups.google.com./g/net.motss/c/wmK5TMxBP4M",1984-01-14,2,1
"NG02_TH00112","netmotss","NG02","TH00112","""Felix"" on self repression","https://groups.google.com./g/net.motss/c/tL3JdZ6Jc9I",1984-01-10,1,1
"NG02_TH00110","netmotss","NG02","TH00110","""Felix"" on talking romance and sex to parents at holiday and other times.","https://groups.google.com./g/net.motss/c/rAp-s1g1XwI",1984-01-09,4,0.25
"NG02_TH00109","netmotss","NG02","TH00109","how many out there? - (nf)","https://groups.google.com./g/net.motss/c/jPwo56O_WUc",1984-01-09,1,1
"NG02_TH00108","netmotss","NG02","TH00108","Handling holidays","https://groups.google.com./g/net.motss/c/TZaYjTUr9qI",1984-01-09,3,0.333333333333333
"NG02_TH00106","netmotss","NG02","TH00106","""Yentl"" as metaphor","https://groups.google.com./g/net.motss/c/GJGcz29KU3U",1984-01-09,1,2
"NG02_TH00105","netmotss","NG02","TH00105","forwarded message","https://groups.google.com./g/net.motss/c/vuEzwA_z0mI",1984-01-07,1,1
"NG02_TH00104","netmotss","NG02","TH00104","Twins","https://groups.google.com./g/net.motss/c/wrImkJpiJDg",1984-01-06,1,1
"NG02_TH00102","netmotss","NG02","TH00102","Just what do you mean by Homosexuality, anyway?","https://groups.google.com./g/net.motss/c/pzAwwN5mriM",1984-01-01,2,1
"NG02_TH00101","netmotss","NG02","TH00101","men and homophobia","https://groups.google.com./g/net.motss/c/CLFOa6ZV4eU",1984-01-01,2,1
"NG02_TH00099","netmotss","NG02","TH00099","posted for ""Felix"" on platonic relationships (re-posted)","https://groups.google.com./g/net.motss/c/EBmEP8qDiBc",1983-12-26,1,1
"NG02_TH00098","netmotss","NG02","TH00098","posted for ""Felix"" on platonic relationships","https://groups.google.com./g/net.motss/c/PJxbnYOs3Yk",1983-12-24,2,1
"NG02_TH00096","netmotss","NG02","TH00096","Poking and prodding from ""Felix""","https://groups.google.com./g/net.motss/c/FaXFvPGAqFE",1983-12-20,4,1
"NG02_TH00095","netmotss","NG02","TH00095","Ann Landers loosening up?","https://groups.google.com./g/net.motss/c/vc-xVVvAqYw",1983-12-19,1,1
"NG02_TH00094","netmotss","NG02","TH00094","Platonic Relationships","https://groups.google.com./g/net.motss/c/4GHsnA-c2Go",1983-12-19,6,0.666666666666667
"NG02_TH00092","netmotss","NG02","TH00092","Novel about a lesbian relationship","https://groups.google.com./g/net.motss/c/40AbJLO6u3U",1983-12-18,1,1
"NG02_TH00091","netmotss","NG02","TH00091","Glenn opposes rights - (nf)","https://groups.google.com./g/net.motss/c/ud8k90KUJYc",1983-12-17,1,1
"NG02_TH00090","netmotss","NG02","TH00090","Lesbian S&M and feminism","https://groups.google.com./g/net.motss/c/RR4omeTS_Hk",1983-12-15,3,0.333333333333333
"NG02_TH00086","netmotss","NG02","TH00086","Real Men Aren't Named Lance - (nf)","https://groups.google.com./g/net.motss/c/BkAHWRjfhVQ",1983-12-06,2,0.5
"NG02_TH00084","netmotss","NG02","TH00084","The Meaning Of It All: A Gay Vocabulary (long but good)","https://groups.google.com./g/net.motss/c/HZf7ctujqpw",1983-12-05,1,1
"NG02_TH00083","netmotss","NG02","TH00083","LAMBDA ORIGIN...","https://groups.google.com./g/net.motss/c/jM-XDWrPZCA",1983-12-03,1,1
"NG02_TH00081","netmotss","NG02","TH00081","Etymology (I know, wrong newsgroup)","https://groups.google.com./g/net.motss/c/dlTbi_pXvrA",1983-12-02,3,0.333333333333333
"NG02_TH00080","netmotss","NG02","TH00080","gays","https://groups.google.com./g/net.motss/c/Q8tHcNL7U28",1983-11-30,2,0.5
"NG02_TH00077","netmotss","NG02","TH00077","A favorite quotation","https://groups.google.com./g/net.motss/c/FOb2YSqv7JQ",1983-11-28,1,1
"NG02_TH00076","netmotss","NG02","TH00076","whats natural","https://groups.google.com./g/net.motss/c/V7bIp6gRmZ0",1983-11-28,4,0.25
"NG02_TH00074","netmotss","NG02","TH00074","TZK Sequel (slightly smoldering)","https://groups.google.com./g/net.motss/c/BJadgG87a48",1983-11-27,5,0.2
"NG02_TH00071","netmotss","NG02","TH00071","Someone asked that 'straights' not clutter this newsgroup","https://groups.google.com./g/net.motss/c/xeg1pMG8rrE",1983-11-22,1,1
"NG02_TH00070","netmotss","NG02","TH00070","Frank Ripploh's ""Taxi Zum Klo""","https://groups.google.com./g/net.motss/c/wuTRjWySi0Y",1983-11-21,1,2
"NG02_TH00066","netmotss","NG02","TH00066","Observations on net.motss - homosexuality is a sin","https://groups.google.com./g/net.motss/c/VdaL2WO9KTA",1983-11-20,6,1
"NG02_TH00065","netmotss","NG02","TH00065","Who Submits to This Group","https://groups.google.com./g/net.motss/c/qSTlkI8t860",1983-11-19,4,0.75
"NG02_TH00064","netmotss","NG02","TH00064","Turing biography - (nf)","https://groups.google.com./g/net.motss/c/GmECsiOsJCY",1983-11-19,1,1
"NG02_TH00062","netmotss","NG02","TH00062","Net.motss atmosphere - Do gays have to ""come out?""","https://groups.google.com./g/net.motss/c/clyo6DqY4uc",1983-11-18,1,1
"NG02_TH00060","netmotss","NG02","TH00060","Gay Teachers questionnaire (resubmission of lost article)","https://groups.google.com./g/net.motss/c/aDoMWzg_jEQ",1983-11-17,1,1
"NG02_TH00059","netmotss","NG02","TH00059","Gays adpoting children (resubmission of lost article)","https://groups.google.com./g/net.motss/c/LP-Rx20nmuc",1983-11-17,1,1
"NG02_TH00058","netmotss","NG02","TH00058","That's easy for you to say (resubmission of lost article)","https://groups.google.com./g/net.motss/c/JdhoLb1HC9o",1983-11-17,1,1
"NG02_TH00056","netmotss","NG02","TH00056","forwarded message","https://groups.google.com./g/net.motss/c/V43UIwf3qPs",1983-11-17,3,0.666666666666667
"NG02_TH00054","netmotss","NG02","TH00054","Sexual Preference Policies","https://groups.google.com./g/net.motss/c/ngmT13BX8cs",1983-11-15,3,0.666666666666667
"NG02_TH00053","netmotss","NG02","TH00053","Discussion about Gay Teachers","https://groups.google.com./g/net.motss/c/xUgBfao2YMY",1983-11-15,4,1
"NG02_TH00052","netmotss","NG02","TH00052","Serious people only","https://groups.google.com./g/net.motss/c/HWFO0ffhVyM",1983-11-14,12,0.416666666666667
"NG02_TH00051","netmotss","NG02","TH00051","homosexuals vs. bible-thumpers","https://groups.google.com./g/net.motss/c/dkQYVaiaCeU",1983-11-14,4,0.25
"NG02_TH00050","netmotss","NG02","TH00050","Turing biography","https://groups.google.com./g/net.motss/c/GQDbVJ2qFNU",1983-11-14,1,1
"NG02_TH00049","netmotss","NG02","TH00049","Discussion about Gay Teachers","https://groups.google.com./g/net.motss/c/iT0qcfNKSXY",1983-11-12,1,1
"NG02_TH00048","netmotss","NG02","TH00048","Sexual behavior in the classroom","https://groups.google.com./g/net.motss/c/trZLEJXw4B8",1983-11-11,1,1
"NG02_TH00045","netmotss","NG02","TH00045","A Serious Person","https://groups.google.com./g/net.motss/c/e0wyQzG-eps",1983-11-10,3,0.333333333333333
"NG02_TH00044","netmotss","NG02","TH00044","gay books","https://groups.google.com./g/net.motss/c/IzaxqRb3o_Q",1983-11-09,3,0.666666666666667
"NG02_TH00040","netmotss","NG02","TH00040","religious obsolescence","https://groups.google.com./g/net.motss/c/ASIvmE0lySo",1983-11-08,2,0.5
"NG02_TH00039","netmotss","NG02","TH00039","""Bearbaiters""...I'll tell them off too if they'll listen!","https://groups.google.com./g/net.motss/c/eLdG12BE_a8",1983-11-07,1,1
"NG02_TH00038","netmotss","NG02","TH00038","downfall of the Roman Empire","https://groups.google.com./g/net.motss/c/30zXLBj42eQ",1983-11-07,2,1
"NG02_TH00037","netmotss","NG02","TH00037","Thats Easy For You To Say","https://groups.google.com./g/net.motss/c/t3uR8PwP5OY",1983-11-06,4,0.75
"NG02_TH00036","netmotss","NG02","TH00036","How to handle Bear baiters","https://groups.google.com./g/net.motss/c/NmiMqzQsGO4",1983-11-05,3,0.333333333333333
"NG02_TH00035","netmotss","NG02","TH00035","gay is wrong","https://groups.google.com./g/net.motss/c/RXTMvFJQVso",1983-11-05,9,0.444444444444444
"NG02_TH00034","netmotss","NG02","TH00034","A Small Step Forward in New York - Discrimination Prohibited","https://groups.google.com./g/net.motss/c/nP1sTzUA5jg",1983-11-04,1,1
"NG02_TH00033","netmotss","NG02","TH00033","Security Clearances....","https://groups.google.com./g/net.motss/c/qtVu_peBkhE",1983-11-04,1,1
"NG02_TH00032","netmotss","NG02","TH00032","Civil rights first, religion later","https://groups.google.com./g/net.motss/c/-i645kF0DjU",1983-11-04,1,1
"NG02_TH00031","netmotss","NG02","TH00031","advice to gays","https://groups.google.com./g/net.motss/c/VUcPZfyENIY",1983-11-03,2,1
"NG02_TH00029","netmotss","NG02","TH00029","Alan Turing as a departure for rambl - (nf)","https://groups.google.com./g/net.motss/c/uOYWd2h3K50",1983-11-03,2,0.5
"NG02_TH00025","netmotss","NG02","TH00025","Songs about being...","https://groups.google.com./g/net.motss/c/FUiPECttqIo",1983-10-31,4,0.25
"NG02_TH00024","netmotss","NG02","TH00024","Alan Turing as a departure for rambling self-consciously","https://groups.google.com./g/net.motss/c/9L9C75KJocU",1983-10-31,1,1
"NG02_TH00022","netmotss","NG02","TH00022","Sodom and Gomorrah","https://groups.google.com./g/net.motss/c/DUHRyd09kvI",1983-10-26,2,0.5
