"ThreadID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"TH00408","The Relevant Dimension","https://groups.google.com./g/net.motss/c/CnvbwibIUwk","9/26/84",1,"netmotss"
"TH00407","responce to bigotry","https://groups.google.com./g/net.motss/c/sbYigKCa8hk","9/25/84",1,"netmotss"
"TH00406","Getting the message","https://groups.google.com./g/net.motss/c/vodHPJBTJGs","9/25/84",1,"netmotss"
"TH00405","San Fransisco!!","https://groups.google.com./g/net.motss/c/y4gUmx9VxWM","9/25/84",1,"netmotss"
"TH00404","Reply to Steve Dyer","https://groups.google.com./g/net.motss/c/6NFUOqmvquk","9/24/84",3,"netmotss"
"TH00403","""Improper Conduct""","https://groups.google.com./g/net.motss/c/AMKikMB7F2k","9/24/84",2,"netmotss"
"TH00402","Room for everyone????","https://groups.google.com./g/net.motss/c/dJANEQ9hdp4","9/24/84",5,"netmotss"
"TH00401","followup on Guyon/NAMBLA discussion","https://groups.google.com./g/net.motss/c/AXlCd30zX5w","9/24/84",1,"netmotss"
"TH00400","Discrimination at the workplace/grad school: an inquiry","https://groups.google.com./g/net.motss/c/bceLbsRQRyw","9/22/84",2,"netmotss"
"TH00399","Always a reader","https://groups.google.com./g/net.motss/c/RDlC8S43qQg","9/22/84",1,"netmotss"
"TH00398","BOBO!!!","https://groups.google.com./g/net.motss/c/dwlOTl40FnU","9/20/84",1,"netmotss"
"TH00397","Thanks to Steve Dyer!! (Really)","https://groups.google.com./g/net.motss/c/JyQD4mVCZUQ","9/20/84",1,"netmotss"
"TH00396","Doonesbury from the past","https://groups.google.com./g/net.motss/c/8Smb3j7Dq1I","9/19/84",1,"netmotss"
"TH00395","IT'S HERE!!!","https://groups.google.com./g/net.motss/c/OIneJn10u60","9/19/84",1,"netmotss"
"TH00394","And now for the good news....","https://groups.google.com./g/net.motss/c/65yAQeKpaUY","9/19/84",1,"netmotss"
"TH00393","More euphemisms . . .","https://groups.google.com./g/net.motss/c/Um30X5AxkAI","9/18/84",1,"netmotss"
"TH00392","Like *Flamesville*, Man.","https://groups.google.com./g/net.motss/c/odHgINgAeN4","9/18/84",2,"netmotss"
"TH00391","More defense of Ken Arndt [there is no defense]","https://groups.google.com./g/net.motss/c/KtkDRsQxa4A","9/18/84",2,"netmotss"
"TH00390","More defense of Ken Arndt","https://groups.google.com./g/net.motss/c/q6iiqdWzCyg","9/17/84",1,"netmotss"
"TH00389","Almost banned in Boston!","https://groups.google.com./g/net.motss/c/Q4kcClIGMcA","9/17/84",2,"netmotss"
"TH00388","Mr. Arndt's rantings","https://groups.google.com./g/net.motss/c/9XKcVAsq2EI","9/15/84",3,"netmotss"
"TH00387","What people want in a MOTAS","https://groups.google.com./g/net.motss/c/jY75tBKb3f8","9/15/84",1,"netmotss"
"TH00386","A little lite humor from Ken Arndt","https://groups.google.com./g/net.motss/c/cU_q2WqAxos","9/14/84",2,"netmotss"
"TH00385","""YOU'RE PART OF THE PROBLEM""","https://groups.google.com./g/net.motss/c/nCm5NGKwniw","9/14/84",2,"netmotss"
"TH00384","Survey","https://groups.google.com./g/net.motss/c/5D-ocJwOo38","9/14/84",1,"netmotss"
"TH00383","THEY'RE, THEIR, THERE -- PLEASE.............","https://groups.google.com./g/net.motss/c/WT7lZhz5Y1w","9/14/84",2,"netmotss"
"TH00382","homosexual associations","https://groups.google.com./g/net.motss/c/tVt7VZQEzhc","9/13/84",25,"netmotss"
"TH00381","On coming out","https://groups.google.com./g/net.motss/c/wpzmyF1unsw","9/13/84",2,"netmotss"
"TH00380","Homosexuals as ministers ??","https://groups.google.com./g/net.motss/c/9LZQPkS4lF0","9/13/84",1,"netmotss"
"TH00379","Varied thoughts","https://groups.google.com./g/net.motss/c/ScGxFAh9C9I","9/12/84",3,"netmotss"
"TH00378","What *you* are looking for in a MOTAS (survey results)","https://groups.google.com./g/net.motss/c/2GLqvDbexWw","9/11/84",2,"netmotss"
"TH00377","Ken Arndt","https://groups.google.com./g/net.motss/c/i12mSzB0GoY","9/11/84",1,"netmotss"
"TH00376","Smile if you taste pathogens Andy!","https://groups.google.com./g/net.motss/c/AWQWes5G450","9/11/84",1,"netmotss"
"TH00375","Ans. to req. for info - data anyone?","https://groups.google.com./g/net.motss/c/NM4UfQZMhts","9/10/84",1,"netmotss"
"TH00374","""Love means . . . ""","https://groups.google.com./g/net.motss/c/z7vZH2Dq4qY","9/9/84",3,"netmotss"
"TH00373","paradiSe","https://groups.google.com./g/net.motss/c/qf7fmOWgUZk","9/7/84",1,"netmotss"
"TH00372","Something for Ron Rizzo's proscribed list","https://groups.google.com./g/net.motss/c/g9ZKGAF3i40","9/7/84",1,"netmotss"
"TH00371","Please try to be mature, Ken.","https://groups.google.com./g/net.motss/c/vV8_rPMWZAI","9/6/84",1,"netmotss"
"TH00370","Arndt articles","https://groups.google.com./g/net.motss/c/knkNvf8-vcE","9/6/84",3,"netmotss"
"TH00369","A little lite humor.","https://groups.google.com./g/net.motss/c/otGq9tDKXi8","9/5/84",1,"netmotss"
"TH00368","ann's earring","https://groups.google.com./g/net.motss/c/AWGw0wBhJ54","9/5/84",2,"netmotss"
"TH00367","ken arndt","https://groups.google.com./g/net.motss/c/At1ss__4pCM","9/1/84",1,"netmotss"
"TH00366","The Kiss of Death","https://groups.google.com./g/net.motss/c/6b7e1ymrf1s","9/1/84",7,"netmotss"
"TH00365","Elements in a MOTAS","https://groups.google.com./g/net.motss/c/14Sh4FsOa5Q","8/31/84",1,"netmotss"
"TH00364","Final Observations","https://groups.google.com./g/net.motss/c/DA4iRx1qC4g","8/30/84",8,"netmotss"
"TH00363","Include her in.","https://groups.google.com./g/net.motss/c/PdOW57-6YOM","8/29/84",1,"netmotss"
"TH00362","Natural, natural . . . who's got the natural?","https://groups.google.com./g/net.motss/c/mUfxIHIWqjc","8/29/84",1,"netmotss"
"TH00361","More euphemisms . . .","https://groups.google.com./g/net.motss/c/DeqA6LsvxdQ","8/28/84",1,"netmotss"
"TH00360","A Naive Plea","https://groups.google.com./g/net.motss/c/Qsr8mRzHo1k","8/28/84",1,"netmotss"
"TH00359","Posted for Dionysus: Introduction and new topics","https://groups.google.com./g/net.motss/c/VikYVrHVJ6Y","8/28/84",5,"netmotss"
"TH00358","More final observations","https://groups.google.com./g/net.motss/c/Sjl58VqaPkY","8/27/84",1,"netmotss"
"TH00357","Serpent in Paradise","https://groups.google.com./g/net.motss/c/fx91yGF5YjY","8/24/84",7,"netmotss"
"TH00356","YAFM: movie review","https://groups.google.com./g/net.motss/c/jR8D9o4lbvs","8/24/84",2,"netmotss"
"TH00355","words","https://groups.google.com./g/net.motss/c/c-sIOH0p0_4","8/21/84",1,"netmotss"
"TH00354","YAFM: law and morality","https://groups.google.com./g/net.motss/c/LPhCT-9hcN4","8/21/84",1,"netmotss"
"TH00353","gay?? really?? - (nf)","https://groups.google.com./g/net.motss/c/71wSWL_L9MY","8/21/84",10,"netmotss"
"TH00352","And now the local news...","https://groups.google.com./g/net.motss/c/krMPFrXQeX4","8/19/84",1,"netmotss"
"TH00351","In the News...","https://groups.google.com./g/net.motss/c/DrugY-pyjBE","8/19/84",1,"netmotss"
"TH00350","a short story -- enjoy!","https://groups.google.com./g/net.motss/c/PW1pN1uuFwE","8/18/84",1,"netmotss"
"TH00349","what causes homosexuality","https://groups.google.com./g/net.motss/c/TvvPi6Qlfi4","8/18/84",1,"netmotss"
"TH00348","Forwarded Message","https://groups.google.com./g/net.motss/c/i23wdW3Tpmw","8/18/84",1,"netmotss"
"TH00347","Ann Landers on earrings...","https://groups.google.com./g/net.motss/c/KTd5gTG6knw","8/17/84",4,"netmotss"
"TH00346","United Church of Canada discusses ordination of homosexuals","https://groups.google.com./g/net.motss/c/kWdvolsAowo","8/17/84",1,"netmotss"
"TH00345","Forwarded message","https://groups.google.com./g/net.motss/c/p1ZJMfdymao","8/17/84",1,"netmotss"
"TH00344","so long","https://groups.google.com./g/net.motss/c/RuP7U-Ggs2E","8/15/84",6,"netmotss"
"TH00343","Sexual Orientation or Sexual Preference?","https://groups.google.com./g/net.motss/c/EjPqJO3zLBs","8/14/84",2,"netmotss"
"TH00342","Olympics, Rizzo letter","https://groups.google.com./g/net.motss/c/dE-wqnReyxU","8/14/84",1,"netmotss"
"TH00341","To be or not to be","https://groups.google.com./g/net.motss/c/ZJXg7TFW7FM","8/13/84",1,"netmotss"
"TH00340","The word GAY and a note on Olympic men","https://groups.google.com./g/net.motss/c/EM2h0tCFq0w","8/10/84",1,"netmotss"
"TH00339","Fantastic gymnastics","https://groups.google.com./g/net.motss/c/95f6MnnvUz0","8/10/84",3,"netmotss"
"TH00338","Dethroning of Miss America, and other social ills...","https://groups.google.com./g/net.motss/c/OpOrlP6WI1w","8/9/84",2,"netmotss"
"TH00337","Steve Dyer's suggestion re: appalling flames","https://groups.google.com./g/net.motss/c/rKEqgQtdHes","8/8/84",5,"netmotss"
"TH00336","Flaunting it vs. Hiding it (Posted for Dionysus)","https://groups.google.com./g/net.motss/c/h3JXjyUeQeo","8/8/84",1,"netmotss"
"TH00335","tidbits","https://groups.google.com./g/net.motss/c/x9i0W6n1eG4","8/8/84",2,"netmotss"
"TH00334","A perspective on rationality","https://groups.google.com./g/net.motss/c/TvpFRszwDW0","8/7/84",1,"netmotss"
"TH00333","Monogamy","https://groups.google.com./g/net.motss/c/xylowR3bifw","8/7/84",1,"netmotss"
"TH00332","FURTHER offenses to hamsters, pterodactyls, and very small rocks","https://groups.google.com./g/net.motss/c/6Vln_-RyOSg","8/6/84",3,"netmotss"
"TH00331","Forwarded Message","https://groups.google.com./g/net.motss/c/U3ZVX3c26Wc","8/6/84",3,"netmotss"
"TH00330","Are homosexuals only perverts doing headstands (inverted)?","https://groups.google.com./g/net.motss/c/rvLbR6wpc9Q","8/5/84",3,"netmotss"
"TH00329","quick comment to Ken Arndt....","https://groups.google.com./g/net.motss/c/RDUKtYkDyiI","8/5/84",1,"netmotss"
"TH00328","Flaunting it vs. Hiding it","https://groups.google.com./g/net.motss/c/WpWbEFxl7BI","8/3/84",1,"netmotss"
"TH00327","An open letter to Ken Arndt","https://groups.google.com./g/net.motss/c/KLdapQHzg4g","8/3/84",1,"netmotss"
"TH00326","Dyer claims the moral high ground!","https://groups.google.com./g/net.motss/c/DNeHaA1gPYA","8/3/84",2,"netmotss"
"TH00325","in general....","https://groups.google.com./g/net.motss/c/Cc_9e0mChPI","8/3/84",1,"netmotss"
"TH00324","Moral Traditions ??","https://groups.google.com./g/net.motss/c/Px8bQVEIV3c","8/2/84",1,"netmotss"
"TH00323","Forwarded Messages","https://groups.google.com./g/net.motss/c/2Tukk2nSQL4","8/2/84",1,"netmotss"
"TH00322","To ++++ +++++, all others avert eyes(can't reach him)","https://groups.google.com./g/net.motss/c/OW7nxsYA16k","8/1/84",1,"netmotss"
"TH00321","Stongehenge -- Not Again!!!!!!!!","https://groups.google.com./g/net.motss/c/286RJSotSTA","7/31/84",1,"netmotss"
"TH00320","Miss America","https://groups.google.com./g/net.motss/c/ULwKRq8Ci8I","7/30/84",9,"netmotss"
"TH00319","Miss America","https://groups.google.com./g/net.motss/c/uE_jL5S4xRI","7/29/84",1,"netmotss"
"TH00318","Miss America Update","https://groups.google.com./g/net.motss/c/-KZllO-ntW4","7/29/84",6,"netmotss"
"TH00317","Gay marriage: posted for ""Dionysus""","https://groups.google.com./g/net.motss/c/9GpfwhqnGoI","7/28/84",1,"netmotss"
"TH00316","Homosexuality and History","https://groups.google.com./g/net.motss/c/iAj8u2lHX_A","7/27/84",1,"netmotss"
"TH00315","Sex Roles","https://groups.google.com./g/net.motss/c/IFWKUyVmYEI","7/27/84",1,"netmotss"
"TH00314","Turning the other cheek","https://groups.google.com./g/net.motss/c/CDduP1IpPZc","7/27/84",2,"netmotss"
"TH00313","Bigotry and Trish's original quote","https://groups.google.com./g/net.motss/c/ppZpIYQAd10","7/27/84",4,"netmotss"
"TH00312","appalling thought","https://groups.google.com./g/net.motss/c/ElK7rxsrRbk","7/27/84",5,"netmotss"
"TH00311","Goodbye (for now at least)","https://groups.google.com./g/net.motss/c/oG3Y_D5gTMI","7/27/84",1,"netmotss"
"TH00310","ELOQUENCE","https://groups.google.com./g/net.motss/c/z5lNIH63Wl4","7/26/84",4,"netmotss"
"TH00309","An Innocent (I think) Question","https://groups.google.com./g/net.motss/c/YR6Ws5DLun8","7/26/84",5,"netmotss"
"TH00308","Gay Marriage, solution (?) from a straight","https://groups.google.com./g/net.motss/c/o79Fuuwt8BM","7/25/84",1,"netmotss"
"TH00307","History and Homosexuality - reply to DuBois","https://groups.google.com./g/net.motss/c/O5RTCr76Pw4","7/24/84",2,"netmotss"
"TH00306","For Ken Arndt (offensive language)","https://groups.google.com./g/net.motss/c/MjvEea6Wae4","7/24/84",2,"netmotss"
"TH00305","Homosexual teachers- a serious question","https://groups.google.com./g/net.motss/c/3IqasNU52pw","7/23/84",2,"netmotss"
"TH00304","Deportation","https://groups.google.com./g/net.motss/c/81pK1bHv43k","7/21/84",1,"netmotss"
"TH00303","GAMIT Alum Group","https://groups.google.com./g/net.motss/c/Iy-zyJ1jhdY","7/21/84",1,"netmotss"
"TH00302","Info wanted","https://groups.google.com./g/net.motss/c/zNzaCjDqjOc","7/21/84",5,"netmotss"
"TH00301","Street Theater! (plays in Boston)","https://groups.google.com./g/net.motss/c/lsEIH4pj5AA","7/21/84",1,"netmotss"
"TH00300","Reposting Weird laws (if at Olivetti, ignore)","https://groups.google.com./g/net.motss/c/axEuKp71mi4","7/20/84",3,"netmotss"
"TH00299","Stongehenge Flames Scattered All Over The Net","https://groups.google.com./g/net.motss/c/2ksOCruVbpE","7/20/84",1,"netmotss"
"TH00298","Role of monogamy in a relationship","https://groups.google.com./g/net.motss/c/ThRxLs4M8T8","7/19/84",2,"netmotss"
"TH00297","listing wanted","https://groups.google.com./g/net.motss/c/gBT-m3IEWlE","7/19/84",1,"netmotss"
"TH00296","History and Homosexuality (from The Village Idiot)","https://groups.google.com./g/net.motss/c/SGUgwoQX0aI","7/19/84",2,"netmotss"
"TH00295","Can't connect to mike. }}} = Arndt","https://groups.google.com./g/net.motss/c/G-_ymcENQ7w","7/18/84",1,"netmotss"
"TH00294","appalling thought","https://groups.google.com./g/net.motss/c/Xt3pj1W8sA0","7/17/84",1,"netmotss"
"TH00293","History and Homosexuality","https://groups.google.com./g/net.motss/c/67qDYVjtchk","7/17/84",2,"netmotss"
"TH00292","history etc.","https://groups.google.com./g/net.motss/c/dUcrE_Zndos","7/16/84",1,"netmotss"
"TH00291","Egbert Incident book","https://groups.google.com./g/net.motss/c/4WWEalX0ErY","7/16/84",1,"netmotss"
"TH00290","Thoughts on the last week of not.motss","https://groups.google.com./g/net.motss/c/tZl0gQYKlSI","7/15/84",11,"netmotss"
"TH00289","Bigotry","https://groups.google.com./g/net.motss/c/FdzKIXYI18U","7/14/84",7,"netmotss"
"TH00288","Fundaphobia","https://groups.google.com./g/net.motss/c/87MTxi6Fa1g","7/13/84",12,"netmotss"
"TH00287","gay/lesbian contributions","https://groups.google.com./g/net.motss/c/ROfhER9oAJ8","7/13/84",1,"netmotss"
"TH00286","Not that simple to express, either!","https://groups.google.com./g/net.motss/c/XIl-CAhZaZU","7/12/84",1,"netmotss"
"TH00285","gay rights bill","https://groups.google.com./g/net.motss/c/6Y_D0190TyU","7/12/84",2,"netmotss"
"TH00284","Trish's ORIGINAL statement","https://groups.google.com./g/net.motss/c/R4QERqx2_8I","7/12/84",5,"netmotss"
"TH00283","We aren't that simple.","https://groups.google.com./g/net.motss/c/8OtXuEXmUyo","7/11/84",5,"netmotss"
"TH00282","History and Homosexuality -clarification","https://groups.google.com./g/net.motss/c/ELDvACE4HlM","7/11/84",1,"netmotss"
"TH00281","aliases","https://groups.google.com./g/net.motss/c/Pfir6QCctSQ","7/11/84",1,"netmotss"
"TH00280","gcn review of STD books","https://groups.google.com./g/net.motss/c/SV5hGe1f0RE","7/9/84",1,"netmotss"
"TH00279","Writing articles - (nf)","https://groups.google.com./g/net.motss/c/KXDsPrqe-rU","7/9/84",1,"netmotss"
"TH00278","Bigotry","https://groups.google.com./g/net.motss/c/xClQ_pq5YBs","7/9/84",1,"netmotss"
"TH00277","Notes on Last Few Submissions","https://groups.google.com./g/net.motss/c/Mw6n_FtxG3c","7/9/84",4,"netmotss"
"TH00276","Developmental Psychology: Gender vs Sex: Independence from Choice of Mate","https://groups.google.com./g/net.motss/c/DwUP6kc1CI4","7/9/84",2,"netmotss"
"TH00275","discussion of gays in net.singles, please join in and comment!","https://groups.google.com./g/net.motss/c/z9Vd0Mer30A","7/7/84",2,"netmotss"
"TH00274","Now that the dust has settled and the smoke has cleared...","https://groups.google.com./g/net.motss/c/DN1zQKo_Jqc","7/6/84",1,"netmotss"
"TH00273","Flash! Unitarians OK Gay Marriages","https://groups.google.com./g/net.motss/c/Gp2FzlPDWCI","7/6/84",7,"netmotss"
"TH00272","Flaunting It!","https://groups.google.com./g/net.motss/c/WZ9E4djDw1Q","7/5/84",1,"netmotss"
"TH00271","Dammit Dyer!","https://groups.google.com./g/net.motss/c/zgQD_bL7zXw","7/4/84",1,"netmotss"
"TH00270","hack cough gasp","https://groups.google.com./g/net.motss/c/kovg3RJY6Xg","7/3/84",1,"netmotss"
"TH00269","Will he *ever* go away? :-)","https://groups.google.com./g/net.motss/c/oln5x_CkW4M","7/3/84",2,"netmotss"
"TH00268","Dear Abbey","https://groups.google.com./g/net.motss/c/0Fc1curkfSw","7/2/84",3,"netmotss"
"TH00267","Yet another response to Paul Dubec","https://groups.google.com./g/net.motss/c/Q7tIVe57cq8","7/2/84",1,"netmotss"
"TH00266","Sorry, Jeff","https://groups.google.com./g/net.motss/c/oMmKr28eTuQ","7/2/84",11,"netmotss"
"TH00265","Answer to John Crane's ""Dear Abbey""","https://groups.google.com./g/net.motss/c/fpRxHUIrdCo","7/2/84",1,"netmotss"
"TH00264","The Chicken or the Egg?","https://groups.google.com./g/net.motss/c/_kySww-B6_M","7/2/84",2,"netmotss"
"TH00263","A new line....","https://groups.google.com./g/net.motss/c/0vUe3lqVsoc","7/1/84",2,"netmotss"
"TH00262","answers to sophie's questions","https://groups.google.com./g/net.motss/c/ROvdB2IcpzQ","7/1/84",3,"netmotss"
"TH00261","Trish Against Men","https://groups.google.com./g/net.motss/c/Z5h2Wf8aGmM","7/1/84",1,"netmotss"
"TH00260","My last remarks","https://groups.google.com./g/net.motss/c/YA_59-PCuIc","6/29/84",2,"netmotss"
"TH00259","My View of it All","https://groups.google.com./g/net.motss/c/Bafrzp_zr1w","6/29/84",3,"netmotss"
"TH00258","A Straight's Plea For Perspective.","https://groups.google.com./g/net.motss/c/9s6iBnnX_Bk","6/29/84",9,"netmotss"
"TH00257","Sargent/Brenner Con't","https://groups.google.com./g/net.motss/c/sPwDisjhQqI","6/29/84",8,"netmotss"
"TH00256","Happy as a homosexual","https://groups.google.com./g/net.motss/c/gj9CmQ6UOJc","6/28/84",1,"netmotss"
"TH00255","questions","https://groups.google.com./g/net.motss/c/N-4NmcHVPLM","6/28/84",3,"netmotss"
"TH00254","The New York March","https://groups.google.com./g/net.motss/c/QR_Zz8n_A8g","6/28/84",1,"netmotss"
"TH00253","A Straight's Plea For Perspective","https://groups.google.com./g/net.motss/c/dz6_x6VswzE","6/27/84",1,"netmotss"
"TH00252","lisp","https://groups.google.com./g/net.motss/c/KO_zIV2Ij4U","6/26/84",1,"netmotss"
"TH00251","cheese","https://groups.google.com./g/net.motss/c/r5-TFUxBq80","6/24/84",1,"netmotss"
"TH00250","A reminder","https://groups.google.com./g/net.motss/c/fnV4CZt2WRU","6/24/84",2,"netmotss"
"TH00249","Dammit Dyer","https://groups.google.com./g/net.motss/c/D0vh-4dSzQQ","6/23/84",8,"netmotss"
"TH00248","amusing etymological coincidence","https://groups.google.com./g/net.motss/c/9lTtemSomMU","6/22/84",1,"netmotss"
"TH00247","One flame and two questions","https://groups.google.com./g/net.motss/c/W9iOC3KFMMI","6/22/84",2,"netmotss"
"TH00246","Why advertise?","https://groups.google.com./g/net.motss/c/uVGfTjIpqUI","6/22/84",2,"netmotss"
"TH00245","desperation and homosexuality","https://groups.google.com./g/net.motss/c/LlEcByPnOEU","6/22/84",1,"netmotss"
"TH00244","Sargent/Brenner Con't (Fido and Ken Arndt)","https://groups.google.com./g/net.motss/c/E4W0pkBaF1E","6/21/84",1,"netmotss"
"TH00243","John Boswell talks about Gay Christian History: Part 4","https://groups.google.com./g/net.motss/c/0RN00uSNtSQ","6/21/84",7,"netmotss"
"TH00242","BON JOUR","https://groups.google.com./g/net.motss/c/lodfKZM7HLs","6/21/84",1,"netmotss"
"TH00241","Here's A New One For You: Dear Abbey","https://groups.google.com./g/net.motss/c/2RtmRUQSeYA","6/21/84",2,"netmotss"
"TH00240","Dear Abbey - (nf)","https://groups.google.com./g/net.motss/c/BKhRbngFzSc","6/21/84",2,"netmotss"
"TH00239","""To be one, or not to be one.""","https://groups.google.com./g/net.motss/c/qmLOpvUM-9U","6/20/84",2,"netmotss"
"TH00238","Boston Pride '84","https://groups.google.com./g/net.motss/c/jTTtReDH6ug","6/19/84",2,"netmotss"
"TH00237","parade in San Francisco","https://groups.google.com./g/net.motss/c/K1yXxXGU7X4","6/18/84",1,"netmotss"
"TH00236","answer roberts questions - (nf)","https://groups.google.com./g/net.motss/c/OTviNx9u1W4","6/18/84",2,"netmotss"
"TH00235","Sargent/Brenner","https://groups.google.com./g/net.motss/c/9zCl8ofqY-8","6/18/84",1,"netmotss"
"TH00234","Bi-Pride","https://groups.google.com./g/net.motss/c/wJ1hDinDfxk","6/15/84",1,"netmotss"
"TH00233","I know what motss is - (nf)","https://groups.google.com./g/net.motss/c/gjC_v-GAq68","6/14/84",1,"netmotss"
"TH00232","publish & panic","https://groups.google.com./g/net.motss/c/0FM1onCTUlU","6/14/84",3,"netmotss"
"TH00231","thoughts on desperation (homosexuality and sin)","https://groups.google.com./g/net.motss/c/o3n-rQyb5Zg","6/14/84",3,"netmotss"
"TH00230","Sargent/Brenner","https://groups.google.com./g/net.motss/c/0RudEnXdMlM","6/14/84",1,"netmotss"
"TH00229","""Is he cute?"" and ""Is he gay?""","https://groups.google.com./g/net.motss/c/r9Mh5g4Unpg","6/13/84",1,"netmotss"
"TH00228","response to Mike Musing","https://groups.google.com./g/net.motss/c/5IvrMb7nWjg","6/13/84",2,"netmotss"
"TH00227","What is 'motss' - (nf)","https://groups.google.com./g/net.motss/c/dka76DfkiWc","6/13/84",2,"netmotss"
"TH00226","flame against derogatory epithets","https://groups.google.com./g/net.motss/c/ZLXmxWkp-lo","6/12/84",1,"netmotss"
"TH00225","Alan Turing biography","https://groups.google.com./g/net.motss/c/nuyql6rCXtk","6/12/84",6,"netmotss"
"TH00224","A Gay Response--posted for Keilman","https://groups.google.com./g/net.motss/c/t49LVpAhTYg","6/12/84",1,"netmotss"
"TH00223","SF annual dog show - (nf)","https://groups.google.com./g/net.motss/c/AMFPqNxsvc0","6/11/84",1,"netmotss"
"TH00222","""Why be gay ...?"" (flame)","https://groups.google.com./g/net.motss/c/aAKXv_IL0Y0","6/8/84",1,"netmotss"
"TH00221","Posted as per requested...","https://groups.google.com./g/net.motss/c/pcP8MfE8m3g","6/7/84",5,"netmotss"
"TH00220","Homophobia & science: AIDS in the medical journals","https://groups.google.com./g/net.motss/c/MfRUZnSJqiU","6/7/84",1,"netmotss"
"TH00219","Turing Biography and Discrimination","https://groups.google.com./g/net.motss/c/VM3WqKiX4X4","6/7/84",7,"netmotss"
"TH00218","John Boswell talks about Gay Christian History: Part 3","https://groups.google.com./g/net.motss/c/YybnXemmKl0","5/30/84",1,"netmotss"
"TH00217","bisexuality considered deviant","https://groups.google.com./g/net.motss/c/DJI-b_MlnRQ","5/29/84",3,"netmotss"
"TH00216","One of my favorite quotes","https://groups.google.com./g/net.motss/c/fbokZINs2is","5/29/84",1,"netmotss"
"TH00215","What's this... someone new?","https://groups.google.com./g/net.motss/c/fQduehMhDSc","5/27/84",4,"netmotss"
"TH00214","Re saquiqly","https://groups.google.com./g/net.motss/c/FOLufrpFDXk","5/27/84",1,"netmotss"
"TH00213","test posting","https://groups.google.com./g/net.motss/c/rGFQT8XGBUM","5/25/84",1,"netmotss"
"TH00212","John Boswell talks about Gay Christian History: Part2","https://groups.google.com./g/net.motss/c/-MhS-v49Skg","5/25/84",1,"netmotss"
"TH00211","Ignoring & Homophobia","https://groups.google.com./g/net.motss/c/sOrK7t3h9-4","5/24/84",3,"netmotss"
"TH00210","Boswell's talk.","https://groups.google.com./g/net.motss/c/7QhVo4DPoU0","5/23/84",1,"netmotss"
"TH00209","Three cheers for the queers, they're ok now.","https://groups.google.com./g/net.motss/c/z3c7FBmdSak","5/23/84",1,"netmotss"
"TH00208","John Boswell talks about Gay Christian History: Part 1","https://groups.google.com./g/net.motss/c/Uo2vCuKkFo8","5/22/84",1,"netmotss"
"TH00207","John Boswell""s ""Christianity, Homosexuality & Social Tolerance""","https://groups.google.com./g/net.motss/c/F8EqtL1hBPE","5/22/84",1,"netmotss"
"TH00206","Greetings from Olympus!","https://groups.google.com./g/net.motss/c/S622oRUsapg","5/21/84",2,"netmotss"
"TH00205","John Boswell's ""Christianity, Homosexuality & Social Tolerance""","https://groups.google.com./g/net.motss/c/jVFjYDtP6Gc","5/19/84",2,"netmotss"
"TH00204","Good News","https://groups.google.com./g/net.motss/c/HSY4qz3GUmw","5/18/84",1,"netmotss"
"TH00203","I would like to be add to your mailing list","https://groups.google.com./g/net.motss/c/IkJu-5qsD8I","5/15/84",1,"netmotss"
"TH00202","Addition to the mailing list","https://groups.google.com./g/net.motss/c/i_iI2FLdUQs","5/15/84",1,"netmotss"
"TH00201","CwS 4.1 article: Gay and Lesbian Naturists","https://groups.google.com./g/net.motss/c/o3DeIEsVGvE","5/15/84",1,"netmotss"
"TH00200","Is there something I don't know?","https://groups.google.com./g/net.motss/c/lJJUZ6JmAEI","5/14/84",1,"netmotss"
"TH00199","DISCRIMINATION AT MIT","https://groups.google.com./g/net.motss/c/s2QdwPbhJTg","5/12/84",1,"netmotss"
"TH00198","Rich Eychaner's candidacy for Congress","https://groups.google.com./g/net.motss/c/_2xjc86O0eI","5/11/84",1,"netmotss"
"TH00197","Requested reposting Army Navy Marines","https://groups.google.com./g/net.motss/c/HuV3L2r_mWk","5/7/84",4,"netmotss"
"TH00196","Movie review: Privates on Parade","https://groups.google.com./g/net.motss/c/v9zi4-qL7nM","5/7/84",1,"netmotss"
"TH00195","REAL men...","https://groups.google.com./g/net.motss/c/mH_KD0IHTRE","5/5/84",4,"netmotss"
"TH00194","Stever, are you there?","https://groups.google.com./g/net.motss/c/Vv1nLWqMDXQ","5/5/84",1,"netmotss"
"TH00193","Worth Reading","https://groups.google.com./g/net.motss/c/oA5msek84ec","5/4/84",1,"netmotss"
"TH00192","ON CAMPUS article","https://groups.google.com./g/net.motss/c/OFKgM9Ee-ow","5/4/84",1,"netmotss"
"TH00191","ON CAMPUS","https://groups.google.com./g/net.motss/c/HpSitDlVSLA","5/2/84",2,"netmotss"
"TH00190","Sex in a Relationship","https://groups.google.com./g/net.motss/c/SXAIxQOh7vE","4/30/84",1,"netmotss"
"TH00189","friendship marriages and other","https://groups.google.com./g/net.motss/c/JQ2HMUNKQVE","4/30/84",3,"netmotss"
"TH00188","Yellow Silk","https://groups.google.com./g/net.motss/c/GnXThc5JPnU","4/28/84",1,"netmotss"
"TH00187","Summary of an article on Gays on TV","https://groups.google.com./g/net.motss/c/s3Y5xdYOIYM","4/27/84",3,"netmotss"
"TH00186","Army Navey Marines","https://groups.google.com./g/net.motss/c/aw9TZQqvjAI","4/27/84",1,"netmotss"
